,date,endpoint_type,backend,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,max_output_tokens_per_s,max_concurrent_requests,rtfx,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p99_e2el_ms,run_number,_benchmark_name,max_num_seqs,max_num_batched_tokens
0,20260505-011306,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,1,158.93640565300007,200,0,204800,25600,1.2583649364554812,,161.0707118663016,1449.6364067967143,167.0,3,0.0,64.58865500499883,58.090298500019344,90.22651297919113,61.85871548996147,5.747617263031501,5.709425149605945,0.059853945048466806,5.8738175763777525,5.7476182980708455,5.734100000040598,0.13802984461965123,5.9752204099936534,794.5360474099994,784.6994989999985,91.55506088535921,805.4433201000847,0,s02,256,32768
1,20260505-011553,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,1,156.76326870399998,200,0,204800,25600,1.275809069646535,,163.30356091475647,1469.7320482328084,167.0,3,0.0,58.183684819999826,57.96501900010753,1.5960235558058913,61.563507099899645,5.712521249173255,5.705905421259881,0.024612703779289043,5.853192251968965,5.712522230275563,5.717649999951391,0.12304164821694394,5.897314000135338,783.6738834650032,782.8538219999928,3.3854611779713144,799.1129090999834,1,s02,256,32768
2,20260505-011715,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,23,23.25815657599992,200,0,204800,25600,8.59913378545142,,1100.6891245377817,9906.202120840035,1472.0,46,0.0,463.6202145349853,523.3674370000472,140.63679131588339,584.7682212998984,16.81448384543301,16.74864114173169,1.2360543762825316,20.223745697637412,16.814484383228184,16.320804000088174,10.58447405309386,63.82440519994134,2599.059662904978,2625.171866999949,163.88617746034745,2726.282393900119,0,s02,256,32768
3,20260505-011749,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,23,23.259185735999836,200,0,204800,25600,8.598753295582755,,1100.6404218345926,9905.763796511334,1449.0,46,0.0,466.6744491900033,522.3669819999941,139.69224486868038,581.2550116000011,16.804434974173187,16.59669650393701,1.2530222287594561,19.9583918724409,16.80443557338581,16.485324499967646,10.212551290652094,19.203129199834166,2600.837690909998,2632.655117000013,159.67362728834215,2735.488885300042,1,s02,256,32768
4,20260505-011818,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,45,18.106132821000074,200,0,204800,25600,11.045981048367965,,1413.8855741910995,12724.970167719895,2140.0,90,0.0,851.2743111400073,966.043720000016,281.3740448560246,1109.8789634001537,22.867737013858196,22.612711456692672,2.4885752713842297,29.135359711810764,22.867737556771587,22.085304000029282,18.592894876457063,71.19321329994818,3755.476911899998,3878.714134500001,413.13411541655626,3932.518456099899,0,s02,256,32768
5,20260505-011847,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,45,18.22566626699995,200,0,204800,25600,10.973535730878998,,1404.6125735525118,12641.513161972605,2205.0,90,0.0,880.8284923549866,967.2123349999993,261.4125192146625,1112.2788124000022,22.84497321992128,22.869824519685203,2.3793757128625446,28.673397160552206,22.84497407425187,22.152803999915704,16.715343073503618,71.29706570013013,3782.140091284989,3922.421922999888,423.7337887308222,3974.5365263000394,1,s02,256,32768
6,20260505-011913,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,67,14.928437650999967,200,0,204800,25600,13.397249241725117,,1714.847902940815,15433.631126467335,2613.0,133,0.0,1287.2221570449983,1407.9031879999775,343.8551261834878,1678.5335936999945,28.976841238661397,27.55001371653677,2.5469457502148662,37.465521059763624,28.976841747716573,26.726754000037545,31.039344908414417,74.75536250014555,4967.2809943549955,4964.62801999985,82.56255251637664,5144.744386800051,0,s02,256,32768
7,20260505-011939,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,67,15.03405017199998,200,0,204800,25600,13.303135064195013,,1702.8012882169617,15325.211593952656,2546.0,133,0.0,1283.1946496200032,1451.3258480000104,355.79779403031506,1657.4938361999784,29.28157135602359,27.948403551181578,2.6372725083998896,37.786741318897754,29.28157186940939,27.29632499995205,30.510151637898172,75.33149239004615,5001.954211835,5073.560667999914,97.8420854874568,5121.89264540011,1,s02,256,32768
8,20260505-012005,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,89,14.549940030000016,200,0,204800,25600,13.745761122563183,,1759.4574236880874,15835.116813192786,2937.0,176,0.0,1483.1727736949983,1733.0286789999718,550.3506106843748,2145.9737515999245,32.990731021496096,33.3398606771647,6.542310743328941,45.05329121732305,32.99073152149606,30.712149500118358,40.029836540878904,84.89625080004544,5672.995613425002,6026.410239000029,1104.4888707261123,6160.329005700025,0,s02,256,32768
9,20260505-012030,openai,openai,,Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,200,inf,1.0,89,14.564713093999899,200,0,204800,25600,13.731818725793666,,1757.6727969015892,15819.055172114302,3026.0,145,0.0,1502.7790082600131,1764.8970550001195,546.1835301419163,2151.0842786999297,32.79890316456692,32.88590870078686,6.4350616910906755,45.12407869133905,32.79890366732291,30.448449499999697,39.800394605334596,86.24829209987409,5668.239710160013,6038.861368000084,1093.8905842290574,6180.580873800122,1,s02,256,32768
